bucket,number,state,resolution_class,solved,is_meta,signal_score,relevancy_score,combined_score,n_comments,n_participants,n_xref_merged_prs,reactions_total,reopened,labels,created_at,title,url
2,2697,closed,moved_elsewhere,False,False,0.4852,0.6103,0.5477,12,2,0,0,0,more_info_needed,2025-10-28T16:51:30Z,actuator_output_status() and set_actuator() not work on arduPilot,https://github.com/mavlink/MAVSDK/issues/2697
0,1941,closed,self_resolved,True,False,0.3188,0.7749,0.5469,6,2,0,0,0,,2022-12-09T17:10:15Z,takeoff_and_landing example build error,https://github.com/mavlink/MAVSDK/issues/1941
3,2685,closed,fixed_merged_pr,True,False,0.4428,0.646,0.5444,8,2,1,0,0,bug,2025-10-14T18:33:25Z,sender/receiver based on MavlinkDirect working too slow,https://github.com/mavlink/MAVSDK/issues/2685
0,903,closed,self_resolved,True,False,0.3515,0.7336,0.5425,8,2,0,0,0,question,2019-11-14T09:31:33Z,"How to add ""src/core"" functions to example projects",https://github.com/mavlink/MAVSDK/issues/903
3,708,closed,answered,True,False,0.4691,0.6158,0.5424,21,4,0,0,0,,2019-03-26T08:17:33Z,How to cross-compile dronecodesdk to run on armv9?,https://github.com/mavlink/MAVSDK/issues/708
3,2287,closed,answered,True,False,0.4104,0.6721,0.5413,9,3,0,0,0,question,2024-04-18T19:55:31Z,Getting HTTP 503 when attempting to subscribe to telemetry but works after connecting with QGroundControl,https://github.com/mavlink/MAVSDK/issues/2287
3,1843,closed,answered,True,False,0.4497,0.6318,0.5408,11,4,0,0,0,,2022-07-06T03:53:31Z,takeoff_and_landing.cpp won't build.,https://github.com/mavlink/MAVSDK/issues/1843
1,1633,open,open,,False,0.4082,0.6717,0.5399,18,2,0,0,0,feature,2021-11-24T16:53:58Z,mavsdk_server with more than one remote system,https://github.com/mavlink/MAVSDK/issues/1633
3,2555,closed,fixed_merged_pr,True,False,0.4106,0.6691,0.5399,5,2,1,0,0,more_info_needed,2025-04-28T05:58:41Z,when BUILD_WITHOUT_CURL=ON and BUILD_MAVSDK_SERVER=OFF,https://github.com/mavlink/MAVSDK/issues/2555
0,1253,closed,answered,True,False,0.3798,0.6972,0.5385,11,2,0,0,0,,2020-11-13T13:53:40Z,where can i find the mavsdk_server file?,https://github.com/mavlink/MAVSDK/issues/1253
3,204,closed,fixed_merged_pr,True,False,0.5298,0.5468,0.5383,14,3,1,0,0,enhancement|plugins,2017-12-19T03:19:40Z,Clarify FollowMe::Config::min_height_m and follow_dist_m ,https://github.com/mavlink/MAVSDK/issues/204
0,1823,closed,fixed_stated,True,False,0.2921,0.7808,0.5365,4,2,0,0,0,bug,2022-06-28T15:19:18Z,Autopilot Server Example segfaults,https://github.com/mavlink/MAVSDK/issues/1823
3,1610,closed,fixed_stated,True,False,0.5646,0.508,0.5363,11,5,0,0,0,question,2021-11-08T06:25:33Z,battery information is not correct!!,https://github.com/mavlink/MAVSDK/issues/1610
3,2620,closed,fixed_stated,True,False,0.4304,0.642,0.5362,22,2,0,0,0,,2025-07-23T01:53:46Z,"use gimbal plugin's gibal_list and attitude function, the gimbal_id is not match.",https://github.com/mavlink/MAVSDK/issues/2620
0,1912,closed,fixed_merged_pr,True,False,0.3664,0.7043,0.5353,3,2,1,0,0,,2022-10-10T15:40:21Z,Bad include in mavlink_passthrough.h,https://github.com/mavlink/MAVSDK/issues/1912
3,2050,closed,answered,True,False,0.4749,0.5935,0.5342,12,4,0,0,0,,2023-05-23T14:40:47Z,Linking Error Compiling On RPI4 with Atomic,https://github.com/mavlink/MAVSDK/issues/2050
3,2590,closed,fixed_merged_pr,True,False,0.4966,0.5699,0.5333,14,2,1,0,0,,2025-05-30T00:17:14Z,Camera server freezes up and disconnects upon taking photo or record video 3.5,https://github.com/mavlink/MAVSDK/issues/2590
3,1121,closed,answered,True,False,0.5361,0.5283,0.5322,13,6,0,0,0,question,2020-06-07T12:37:37Z,Preflight check in simulation??,https://github.com/mavlink/MAVSDK/issues/1121
3,1162,closed,answered,True,False,0.4802,0.5829,0.5315,10,3,0,0,0,bug,2020-08-11T15:18:56Z,mission_raw->mission_changed not received on mission clear all,https://github.com/mavlink/MAVSDK/issues/1162
3,1569,closed,fixed_merged_pr,True,False,0.5217,0.5382,0.53,10,4,1,0,0,bug,2021-10-06T11:41:19Z,Telemetry.set_rate_attitude() seems to have no effect,https://github.com/mavlink/MAVSDK/issues/1569
